Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /login (token fetch),50,0,1400,1587.6227940036915,783.8908999692649,3308.3911000285298,123608.0,0.27300673884367027,0.0,1400,1600,2000,2100,2400,3100,3300,3300,3300,3300,3300
GET,GET /logout,41,0,2700,2589.374065842116,2044.5431999396533,2936.1621999414638,123616.0,0.22386552585180963,0.0,2700,2700,2800,2800,2900,2900,2900,2900,2900,2900,2900
GET,GET /mod/quiz/view.php?id=39,767,0,930,952.7718955653961,532.8007999341935,2896.417299984023,249516.0,4.187923373861902,0.0,930,1000,1100,1100,1200,1400,2000,2300,2900,2900,2900
POST,POST /login,50,0,2000,2183.668820001185,977.1257999818772,4347.284199902788,332116.2,0.27300673884367027,0.0,2000,2700,2900,3000,3500,3900,4300,4300,4300,4300,4300
POST,POST /mod/quiz/startattempt.php,760,0,1200,1216.2346342106741,726.7760999966413,3271.1303000105545,262667.0657894737,4.149702430423789,0.0,1200,1200,1300,1300,1500,1700,2300,2700,3300,3300,3300
,Aggregated,1668,0,1100,1168.9707933444495,532.8007999341935,4347.284199902788,251115.23261390888,9.10750480782484,0.0,1100,1200,1300,1300,1600,2300,2800,3000,4200,4300,4300
