Method,Name,Error,Occurrences,First Seen,Last Seen
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 3995 ms'),1,2026-05-12T04:45:37Z,2026-05-12T04:45:37Z
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 4734 ms'),1,2026-05-12T04:45:36Z,2026-05-12T04:45:36Z
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 10736 ms'),1,2026-05-12T04:45:28Z,2026-05-12T04:45:28Z
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 3955 ms'),1,2026-05-12T04:45:36Z,2026-05-12T04:45:36Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 27969 ms'),1,2026-05-12T04:45:11Z,2026-05-12T04:45:11Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 28352 ms'),1,2026-05-12T04:45:11Z,2026-05-12T04:45:11Z
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 23317 ms'),1,2026-05-12T04:45:21Z,2026-05-12T04:45:21Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 9469 ms'),1,2026-05-12T04:44:49Z,2026-05-12T04:44:49Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 10062 ms'),1,2026-05-12T04:44:52Z,2026-05-12T04:44:52Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 3961 ms'),1,2026-05-12T04:45:36Z,2026-05-12T04:45:36Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 19387 ms'),1,2026-05-12T04:45:01Z,2026-05-12T04:45:01Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 8130 ms'),1,2026-05-12T04:45:32Z,2026-05-12T04:45:32Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 8053 ms'),1,2026-05-12T04:45:32Z,2026-05-12T04:45:32Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 3189 ms'),1,2026-05-12T04:45:37Z,2026-05-12T04:45:37Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 4476 ms'),1,2026-05-12T04:45:36Z,2026-05-12T04:45:36Z
